mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
23	23	181/2	181/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	221									28			
23	23	91	91	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	222									28			
23	23	183/2	183/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	223									28			
23	23	88	88	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	224												
24	24	92	92	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	225									28			
24	24	185/2	185/2	0.0	1/8	1/8	Spanner	2/2	1	1	0												28		3	
24	24	185/2	185/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	226									28		3	
24	24	93	93	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	227									28		3	
24	24	187/2	187/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	228									28		3	
24	24	94	94	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	229											3	
24	24	95	95	0.0	3/4	3/4	Spanner	2/2	1	1	0													1	3	
24	24	95	95	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	230									29	1	3	
24	24	191/2	191/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	231										1	3	
25	25	96	96	0.0	0	0	Dynamic	2/2	1	1	0				ff									1		
25	25	96	96	0.0	0	0	Spanner	2/2	1	1	0													1		
25	25	193/2	193/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	232										1		
25	25	97	97	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	233										1		
25	25	195/2	195/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	234										1		
25	25	98	98	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	235										1		
25	25	197/2	197/2	0.0	5/8	5/8	Spanner	2/2	1	1	0															
25	25	199/2	199/2	0.0	7/8	7/8	Dynamic	2/2	1	1	0				f											
25	25	199/2	199/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	236									30			
25	25	97	97	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	237												
25	25	98	98	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	238												
25	25	99	99	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	239												
26	26	100	100	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	240									30			
26	26	201/2	201/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	241									30			
26	26	101	101	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	242									30			
26	26	203/2	203/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	243												
26	26	205/2	205/2	0.0	5/8	5/8	Spanner	2/2	1	1	0													2		
26	26	205/2	205/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	244									31	2		
26	26	103	103	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	245									31	2		
26	26	207/2	207/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	246									31	2		
26	26	100	100	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	247												
26	26	101	101	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	248												
26	26	102	102	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	249												
26	26	103	103	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	250												
27	27	104	104	0.0	0	0	Spanner	2/2	1	1	0												31			
27	27	104	104	0.3333333333333333	0	0	Chord	2/2	1	1	1/12	1/8	2/3	251									31			
27	27	313/3	313/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12	1/8	2/3	252									31			
27	27	314/3	314/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12	1/8	2/3	253									31			
27	27	105	105	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	254												
27	27	211/2	211/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	255		articAccentAbove							32			
27	27	106	106	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	256									32			
27	27	213/2	213/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	257									32			
27	27	107	107	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	258									32			
27	27	215/2	215/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	259												
27	27	104	104	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	260												
27	27	106	106	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	261												
27	27	107	107	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	262												
28	28	217/2	217/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	263									33			
28	28	109	109	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	264									33			
28	28	219/2	219/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	265									33			
28	28	110	110	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	266									33			
28	28	221/2	221/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	267									33			
28	28	111	111	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	268												
28	28	223/2	223/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	269									34			
28	28	108	108	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	270												
28	28	109	109	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	271												
29	29	112	112	0.0	0	0	Spanner	2/2	1	1	0												34			0
29	29	112	112	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	272									34			0
29	29	225/2	225/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	273												0
29	29	113	113	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	274									35			0
29	29	227/2	227/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	275									35			0
29	29	114	114	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	276												0
29	29	229/2	229/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	277									36			0
29	29	115	115	0.0	3/4	3/4	Spanner	2/2	1	1	0															
29	29	115	115	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	278												
30	30	117	117	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	279									37			
30	30	235/2	235/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	280									37			
30	30	118	118	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	281									37			
30	30	237/2	237/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	282												
30	30	239/2	239/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	283												
30	30	116	116	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	284												
30	30	117	117	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	285									38			
30	30	118	118	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	286												
30	30	119	119	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	287												
31	31	120	120	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	288									39			
31	31	241/2	241/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	289									39			
31	31	121	121	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	290									39			
31	31	243/2	243/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	291												
31	31	123	123	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	292									40			
31	31	247/2	247/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	293									40			
31	31	120	120	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	294									41			
31	31	121	121	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	295												
31	31	122	122	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	296												
31	31	123	123	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	297									42			
32	32	124	124	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	298									40			
32	32	249/2	249/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	299									40			
32	32	125	125	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	300												
32	32	127	127	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	301									43			
32	32	255/2	255/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	302									43			
32	32	124	124	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	303												
32	32	125	125	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	304									44			
32	32	251/2	251/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	305									44			
32	32	126	126	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	306												
32	32	127	127	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	307												
33	33	128	128	0.0	0	0	Spanner	2/2	1	1	0												43		4	
33	33	128	128	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	308									43		4	
33	33	257/2	257/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	309									43		4	
33	33	129	129	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	310											4	
33	33	259/2	259/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	311									45		4	
33	33	130	130	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	312									45		4	
33	33	261/2	261/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	313											4	
33	33	131	131	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	314									46		4	
33	33	263/2	263/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	315									46		4	
34	34	132	132	0.0	0	0	Dynamic	2/2	1	1	0				f											
34	34	132	132	0.0	0	0	Spanner	2/2	1	1	0															
34	34	132	132	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	316												
34	34	267/2	267/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	317									47			
34	34	134	134	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	318									47			
34	34	269/2	269/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	319									47			
34	34	135	135	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	320												
34	34	133	133	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	321												
34	34	134	134	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	322												
34	34	135	135	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	323												
35	35	136	136	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	324		articAccentAbove							48			
35	35	273/2	273/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	325									48			
35	35	137	137	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	326												
35	35	275/2	275/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	327		articAccentAbove							49			
35	35	138	138	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	328									49			
35	35	277/2	277/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	329												
35	35	139	139	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	330		articAccentAbove							50			
35	35	279/2	279/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	331									50			
35	35	136	136	1.5	0	0	Chord	2/2	1	2	3/8	1/4	3/2	332												
35	35	275/2	275/2	1.5	3/8	3/8	Chord	2/2	1	2	3/8	1/4	3/2	333												
35	35	139	139	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	334												
36	36	140	140	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	335												
36	36	281/2	281/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	336		articAccentAbove							51			
36	36	141	141	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	337									51			
36	36	283/2	283/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	338												
36	36	142	142	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	339		articAccentBelow							52			
36	36	285/2	285/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	340									52			
36	36	143	143	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	341												
36	36	140	140	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	342												
36	36	281/2	281/2	1.5	1/8	1/8	Chord	2/2	1	2	3/8	1/4	3/2	343												
36	36	142	142	1.5	1/2	1/2	Chord	2/2	2	1	3/8	1/4	3/2	344												
37	37	144	144	0.0	0	0	Dynamic	2/2	1	1	0				mf											
37	37	145	145	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	345									53			
37	37	291/2	291/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	346									53			
37	37	146	146	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	347									53			
37	37	293/2	293/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	348												
37	37	295/2	295/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	349												
37	37	144	144	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	350												
37	37	145	145	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	351									54			
37	37	146	146	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	352												
37	37	147	147	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	353												
38	38	148	148	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	354									55			
38	38	297/2	297/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	355									55			
38	38	149	149	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	356									55			
38	38	299/2	299/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	357												
38	38	151	151	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	358									56			
38	38	303/2	303/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	359									56			
38	38	148	148	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	360									57			
38	38	149	149	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	361												
38	38	150	150	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	362												
38	38	151	151	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	363									58			
39	39	152	152	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	364									56			
39	39	305/2	305/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	365									56			
39	39	153	153	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	366												
39	39	155	155	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	367		articStaccatoAbove										
39	39	152	152	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	368												
39	39	153	153	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	369									59			
39	39	307/2	307/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	370									59			
39	39	154	154	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	371												
39	39	155	155	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	372		articStaccatoAbove										
40	40	313/2	313/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	373												
40	40	157	157	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	374									60			
40	40	315/2	315/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	375									60			
40	40	158	158	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	376												
40	40	156	156	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	377												
40	40	157	157	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	378												
40	40	158	158	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	379												
40	40	159	159	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	380												
41	41	161	161	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	381									61			
41	41	323/2	323/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	382									61			
41	41	162	162	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	383									61			
41	41	325/2	325/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	384									61			
41	41	163	163	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	385									61			
41	41	327/2	327/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	386									61			
41	41	160	160	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	387												
41	41	161	161	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	388												
41	41	162	162	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	389												
41	41	163	163	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	390												
42	42	164	164	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	391									61			
42	42	329/2	329/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	392									61			
42	42	165	165	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	393									61			
42	42	331/2	331/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	394									61			
42	42	166	166	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	395									61			
42	42	333/2	333/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	396									61			
42	42	167	167	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	397									61			
42	42	335/2	335/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	398									61			
42	42	167	167	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	399												
42	42	164	164	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	400												
42	42	165	165	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	401												
43	43	168	168	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	402									61			
43	43	337/2	337/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	403									61			
43	43	169	169	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	404									61			
43	43	339/2	339/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	405									61			
43	43	170	170	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	406									61			
43	43	341/2	341/2	0.0	5/8	5/8	Spanner	2/2	1	1	0												61	3		
43	43	341/2	341/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	407									61	3		
43	43	171	171	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	408									61	3		
43	43	343/2	343/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	409									61	3		
43	43	168	168	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	410										3		
43	43	169	169	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	411										3		
44	44	172	172	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	412									61	3		
44	44	345/2	345/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	413									61	3		
44	44	173	173	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	414										3		
44	44	347/2	347/2	0.0	3/8	3/8	Spanner	2/2	1	1	0															
44	44	349/2	349/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	415									62			
44	44	175	175	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	416									62			
44	44	351/2	351/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	417									62			
44	44	172	172	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	418												
44	44	173	173	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	419												
44	44	174	174	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	420												
45	45	176	176	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	421												
45	45	177	177	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	422									63			
45	45	355/2	355/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	423									63			
45	45	178	178	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	424									63			
45	45	357/2	357/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	425												
45	45	176	176	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	426												
45	45	177	177	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	427												
45	45	178	178	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	428												
45	45	359/2	359/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	429									64			
46	46	182	182	0.0	1/2	1/2	Dynamic	2/2	1	1	0				p											
46	46	182	182	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	430												
46	46	365/2	365/2	0.0	5/8	5/8	StaffText	2/2	1	1	0						<i>secco</i>									
46	46	180	180	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	431									64			
46	46	361/2	361/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	432									64			
46	46	181	181	0.0	1/4	1/4	StaffText	2/2	2	1	0						<i>secco</i>									
46	46	181	181	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	433												
