mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	TextLine	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0								M. M.𝅘𝅥 = 108	108.0	1.0				
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	0							0			
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1							0			
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	2							0			
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3							0			
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	4							0			
1	1	0	0	0.0		0	0	Dynamic	3/4	1	2	0					mf									
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	5										
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	6										
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	7										
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	8										
2	2	3	3	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	9							0			
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	10							0			
2	2	4	4	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	11							0			
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12							0			
2	2	3	3	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	13										
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	14										
2	2	5	5	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	15										
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	16										
2	2	3	3	1.5		0	0	Chord	3/4	2	1	3/8		1/4	3/2	17										
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	18										
2	2	5	5	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	19										
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	20										
3	3	6	6	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	21							0			
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	22							0			
3	3	8	8	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	23							0			
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	24							0			
3	3	6	6	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	25										
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	26										
3	3	7	7	1.5		1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	27										
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	28										
3	3	6	6	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	29										
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	30										
3	3	7	7	1.5		1/4	1/4	Chord	3/4	2	1	3/8		1/4	3/2	31										
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	32										
4	4	9	9	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	33							0			
4	4	19/2	19/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	34							0			
4	4	10	10	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	35							0			
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	36							0			
4	4	11	11	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	37							0			
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	38										
4	4	9	9	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	39										
4	4	19/2	19/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	40										
4	4	10	10	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	41										
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	42										
4	4	11	11	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	43										
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	44										
5	5	12	12	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	45							1			
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	46							1			
5	5	14	14	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	47							1			
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	48							1			
5	5	14	14	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	49										
5	5	12	12	0.0		0	0	Dynamic	3/4	2	1	0					other-dynamics									
5	5	12	12	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	50										
5	5	13	13	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	51										
6	6	15	15	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	52							1			
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	53							1			
6	6	17	17	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	54							1			
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	55							1			
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	56										
6	6	16	16	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57										
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	58										
7	7	18	18	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	59							1			
7	7	39/2	39/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	60							1			
7	7	20	20	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	61							1			
7	7	41/2	41/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	62							1			
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	63										
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	64										
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65										
8	8	21	21	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	66										
8	8	47/2	47/2	0.0		5/8	5/8	Spanner	3/4	1	1	0												0		
8	8	21	21	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	67								0		
8	8	23	23	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	68								0		
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	69								0		
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	70										
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	71										
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	72										
9	9	24	24	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	73							2	0		
9	9	51/2	51/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											2			
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	74							2			
9	9	26	26	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	75							2			
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	76							2			
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	77										
9	9	25	25	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	78										
9	9	26	26	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	79										
10	10	27	27	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	80										
10	10	29	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	81							3			
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82							3			
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	83										
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84										
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85										
11	11	30	30	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	86							3			
11	11	61/2	61/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	87							3			
11	11	31	31	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	88							3			
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89							3			
11	11	30	30	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	90										
11	11	31	31	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91										
11	11	32	32	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92										
12	12	33	33	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	93							3			
12	12	35	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	94										
12	12	33	33	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	95										
12	12	34	34	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	96										
12	12	69/2	69/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	97										
12	12	35	35	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	98										
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	99										
12	12	33	33	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	100										
12	12	34	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101										
12	12	35	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	102							4			
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	103										
13	13	36	36	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	104							5			
13	13	36	36	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	105							5			
13	13	75/2	75/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	106							5			
13	13	38	38	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	107							5			
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	108							5			
13	13	36	36	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	109										
13	13	37	37	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	110										
13	13	38	38	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	111										
14	14	39	39	0.0		0	0	Dynamic	3/4	1	1	0					mf						5			
14	14	39	39	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	112							5			
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	113							5			
14	14	41	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114							5			
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115							5			
14	14	39	39	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	116										
14	14	40	40	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117										
14	14	41	41	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	118										
15	15	42	42	0.0		0	0	Spanner	3/4	1	1	0											5			0
15	15	42	42	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	119							5			0
15	15	87/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	120							5			0
15	15	44	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	121							5			0
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	122							5			0
15	15	42	42	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	123										
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124										
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	125										
16	16	45	45	0.0		0	0	Dynamic	3/4	1	1	0					p						5			
16	16	45	45	0.0		0	0	Spanner	3/4	1	1	0											5			
16	16	45	45	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	126							5			
16	16	47	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	127							5			
16	16	95/2	95/2	0.0		5/8	5/8	Spanner	3/4	1	1	0												1		
16	16	95/2	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	128								1		
16	16	45	45	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	129										
16	16	46	46	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	130										
16	16	47	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	131										
17	17	48	48	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	132							6	1		
17	17	99/2	99/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											6			
17	17	99/2	99/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	133							6			
17	17	50	50	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	134							6			
17	17	101/2	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	135							6			
17	17	48	48	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	136										
17	17	49	49	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	137										
17	17	50	50	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	138										
18	18	51	51	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	139							6			
18	18	53	53	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	140							6			
18	18	51	51	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	141										
18	18	105/2	105/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	142										
18	18	53	53	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	143										
18	18	107/2	107/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	144										
18	18	51	51	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	145										
18	18	52	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146										
18	18	53	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147										
19	19	54	54	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	148							6			
19	19	54	54	1.5		0	0	Chord	3/4	1	2	3/8		1/4	3/2	149										
19	19	111/2	111/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	150										
19	19	56	56	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	151										
19	19	113/2	113/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	152										
19	19	54	54	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	153										
19	19	55	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	154										
19	19	56	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155										
20	20	57	57	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	156										
20	20	57	57	3.0		0	0	Chord	3/4	1	2	3/4		1/2	3/2	157										
20	20	57	57	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	158										
20	20	58	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	159										
20	20	59	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	160										
21	21	61	61	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	161							7			
21	21	123/2	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	162							7			
21	21	62	62	0.0		1/2	1/2	StaffText	3/4	1	1	0							semplice				7			
21	21	62	62	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	163							7			
21	21	125/2	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	164							7			
21	21	60	60	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	165										
21	21	61	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	166										
21	21	62	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167										
22	22	63	63	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	168							7			
22	22	65	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	169							7			
22	22	131/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	170							7			
22	22	63	63	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	171										
22	22	64	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	172										
22	22	65	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	173										
23	23	66	66	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	174							7			
23	23	67	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	175							7			
23	23	135/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	176							7			
23	23	68	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	177							7			
23	23	137/2	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	178										
23	23	66	66	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	179										
23	23	67	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	180										
23	23	68	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	181										
24	24	69	69	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	182										
24	24	69	69	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	183										
24	24	70	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	184										
24	24	71	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	185										
25	25	72	72	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	186										
25	25	145/2	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	187							8			
25	25	73	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	188							8			
25	25	147/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	189							8			
25	25	74	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	190							8			
25	25	149/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	191							8			
25	25	72	72	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	192										
25	25	73	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	193										
25	25	74	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	194										
26	26	75	75	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	195							8			
26	26	77	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	196							8			
26	26	155/2	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	197							8			
26	26	75	75	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	198										
26	26	76	76	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	199										
26	26	77	77	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	200										
27	27	78	78	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	201							8			
27	27	80	80	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	202							8			
27	27	78	78	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	203										
27	27	79	79	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	204										
27	27	159/2	159/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	205										
27	27	80	80	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	206										
27	27	161/2	161/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	207										
27	27	78	78	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	208										
27	27	79	79	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	209										
27	27	80	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	210										
28	28	81	81	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	211							8			
28	28	163/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	212							8			
28	28	82	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	213							8			
28	28	165/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	214							8			
28	28	83	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	215							8			
28	28	81	81	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	216										
28	28	83	83	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	217										
28	28	167/2	167/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	218										
28	28	81	81	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	219										
28	28	82	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	220										
28	28	83	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	221										
29	29	84	84	0.0		0	0	Spanner	3/4	1	1	0													0	
29	29	169/2	169/2	1.0		1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	222							9		0	
29	29	171/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	223							9		0	
29	29	86	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	224							9		0	
29	29	173/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	225									0	
29	29	84	84	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	226										
29	29	85	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	227										
29	29	86	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	228										
30	30	87	87	0.0		0	0	Dynamic	3/4	1	1	0					mf									
30	30	87	87	0.0		0	0	Spanner	3/4	1	1	0														
30	30	87	87	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	229							10			
30	30	177/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230							10			
30	30	89	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	231							10			
30	30	179/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	232							10			
30	30	87	87	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	233										
30	30	88	88	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	234										
30	30	89	89	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	235										
31	31	90	90	0.0		0	0	Spanner	3/4	1	1	0											10			1
31	31	90	90	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	236							10			1
31	31	183/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	237							10			1
31	31	92	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	238							10			1
31	31	185/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	239							10			1
31	31	90	90	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	240										
31	31	91	91	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	241										
31	31	92	92	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	242										
32	32	93	93	0.0		0	0	Spanner	3/4	1	1	0											10			
32	32	93	93	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	243							10			
32	32	95	95	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	244							10			
32	32	191/2	191/2	0.0		5/8	5/8	Spanner	3/4	1	1	0												2		
32	32	191/2	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	245								2		
32	32	93	93	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	246										
32	32	94	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	247										
32	32	95	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	248										
33	33	96	96	0.0		0	0	Dynamic	3/4	1	1	0					p							2		
33	33	96	96	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	249							11	2		
33	33	195/2	195/2	0.0		3/8	3/8	Spanner	3/4	1	1	0											11			
33	33	195/2	195/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	250							11			
33	33	98	98	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251							11			
33	33	197/2	197/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252							11			
33	33	96	96	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	253										
33	33	97	97	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	254										
33	33	98	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	255										
34	34	99	99	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	256							11			
34	34	101	101	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	257							11			
