mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Ottava:8va	crescendo_hairpin
24	24	94	94	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12	1/8	2/3	257									0
24	24	283/3	283/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12	1/8	2/3	258									0
24	24	284/3	284/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12	1/8	2/3	259									0
24	24	95	95	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	260									0
24	24	286/3	286/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	261									0
24	24	287/3	287/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	262									0
24	24	92	92	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	263									0
24	24	92	92	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	264							31		
24	24	93	93	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	265									
24	24	94	94	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	266									
24	24	95	95	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	267									
25	25	96	96	0.0	0	0	Dynamic	2/2	1	1	0				f								
25	25	96	96	0.0	0	0	Spanner	2/2	1	1	0												
25	25	193/2	193/2	0.0	1/8	1/8	StaffText	2/2	1	1	0						stacc.						
25	25	193/2	193/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	268									
25	25	97	97	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	269									
25	25	98	98	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	270									
25	25	197/2	197/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	271									
25	25	199/2	199/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	272									
25	25	96	96	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	273									
25	25	195/2	195/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	274									
25	25	99	99	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	275									
26	26	100	100	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	276									
26	26	201/2	201/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	277									
26	26	101	101	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	278									
26	26	203/2	203/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	279									
26	26	102	102	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	280									
26	26	205/2	205/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	281									
26	26	103	103	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	282									
27	27	104	104	0.0	0	0	Dynamic	2/2	1	1	0				f								
27	27	209/2	209/2	0.0	1/8	1/8	StaffText	2/2	1	1	0						stacc.						
27	27	209/2	209/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	283									
27	27	105	105	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	284									
27	27	106	106	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	285									
27	27	213/2	213/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	286									
27	27	215/2	215/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	287									
27	27	104	104	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	288									
27	27	211/2	211/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	289									
27	27	107	107	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	290									
28	28	108	108	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	291									
28	28	217/2	217/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	292									
28	28	109	109	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	293									
28	28	219/2	219/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	294									
28	28	110	110	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	295									
28	28	221/2	221/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	296									
28	28	111	111	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	297									
29	29	225/2	225/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	298									
29	29	113	113	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	299									
29	29	114	114	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	300									
29	29	115	115	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	301									
29	29	231/2	231/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	302									
29	29	112	112	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	303									
29	29	227/2	227/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	304									
29	29	229/2	229/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	305									
30	30	233/2	233/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	306									
30	30	117	117	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	307									
30	30	118	118	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	308									
30	30	237/2	237/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	309									
30	30	239/2	239/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	310									
30	30	116	116	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	311									
30	30	235/2	235/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	312									
30	30	119	119	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	313									
31	31	241/2	241/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	314									
31	31	121	121	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	315									
31	31	122	122	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	316									
31	31	245/2	245/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	317									
31	31	247/2	247/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	318									
31	31	120	120	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	319									
31	31	243/2	243/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	320									
31	31	123	123	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	321									
32	32	124	124	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	322									
32	32	125	125	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	323									
32	32	251/2	251/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	324									
32	32	253/2	253/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	325									
32	32	127	127	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	326									
32	32	255/2	255/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	327									
32	32	249/2	249/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	328									
32	32	126	126	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	329									
33	33	128	128	0.0	0	0	Dynamic	2/2	1	1	0				f								
33	33	128	128	0.0	0	0	StaffText	2/2	1	1	0						sempre stacc. martell.						
33	33	128	128	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	330									
33	33	257/2	257/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	331									
33	33	129	129	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	332									
33	33	259/2	259/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	333									
33	33	261/2	261/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	334									
33	33	131	131	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	335									
33	33	263/2	263/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	336									
33	33	128	128	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	337									
33	33	129	129	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	338									
33	33	130	130	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	339									
33	33	131	131	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	340									
34	34	132	132	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	341									
34	34	265/2	265/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	342									
34	34	133	133	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	343									
34	34	267/2	267/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	344									
34	34	134	134	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	345									
34	34	269/2	269/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	346									
34	34	271/2	271/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	347									
34	34	132	132	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	348									
34	34	133	133	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	349									
34	34	134	134	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	350									
34	34	135	135	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	351									
35	35	136	136	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	352									
35	35	273/2	273/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	353									
35	35	137	137	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	354									
35	35	275/2	275/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	355									
35	35	277/2	277/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	356									
35	35	139	139	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	357									
35	35	279/2	279/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	358									
35	35	136	136	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	359									
35	35	137	137	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	360									
35	35	138	138	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	361									
35	35	139	139	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	362									
36	36	140	140	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	363									
36	36	281/2	281/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	364									
36	36	141	141	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	365									
36	36	283/2	283/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	366									
36	36	142	142	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	367									
36	36	285/2	285/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	368									
36	36	287/2	287/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	369									
36	36	140	140	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	370									
36	36	141	141	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	371									
36	36	142	142	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	372									
36	36	143	143	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	373									
37	37	144	144	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	374									
37	37	289/2	289/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	375									
37	37	145	145	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	376									
37	37	291/2	291/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	377									
37	37	146	146	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	378									
37	37	293/2	293/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	379									
37	37	147	147	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	380									
37	37	295/2	295/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	381									
37	37	144	144	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	382									
37	37	145	145	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	383									
37	37	146	146	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	384									
37	37	147	147	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	385									
38	38	148	148	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	386									
38	38	297/2	297/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	387									
38	38	299/2	299/2	1.5	3/8	3/8	Chord	2/2	1	1	3/8	1/4	3/2	388									
38	38	151	151	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	389		articAccentAbove					32		
38	38	303/2	303/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	390							32		
38	38	148	148	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	391									
38	38	149	149	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	392									
38	38	150	150	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	393									
38	38	151	151	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	394									
39	39	152	152	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	395							32		
39	39	305/2	305/2	1.5	1/8	1/8	Chord	2/2	1	1	3/8	1/4	3/2	396									
39	39	154	154	0.0	1/2	1/2	Spanner	2/2	1	1	0											1	
39	39	154	154	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	397		articAccentAbove					33	1	
39	39	309/2	309/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	398							33	1	
39	39	311/2	311/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	399								1	
39	39	152	152	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	400									
39	39	153	153	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	401									
39	39	154	154	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	402									
39	39	155	155	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	403									
40	40	156	156	0.0	0	0	Spanner	2/2	1	1	0												
40	40	313/2	313/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	404		articAccentAbove					34		
40	40	157	157	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	405									
40	40	315/2	315/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	406									
40	40	158	158	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	407		articAccentAbove					35		
40	40	317/2	317/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	408									
40	40	159	159	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	409									
40	40	319/2	319/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	410		articAccentBelow							
40	40	319/2	319/2	0.0	7/8	7/8	StaffText	2/2	2	1	0						secco						
41	41	160	160	0.0	0	0	StaffText	2/2	1	1	0						stacc.						
41	41	160	160	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	411									
41	41	321/2	321/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	412									
41	41	161	161	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	413									
41	41	323/2	323/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	414									
41	41	325/2	325/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	415									
41	41	163	163	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	416									
41	41	327/2	327/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	417									
41	41	160	160	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	418									
41	41	161	161	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	419									
41	41	162	162	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	420									
41	41	163	163	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	421									
42	42	164	164	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	422									
42	42	329/2	329/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	423									
42	42	165	165	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	424									
42	42	331/2	331/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	425									
42	42	166	166	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	426									
42	42	333/2	333/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	427		articTenutoAbove							
42	42	335/2	335/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	428									
42	42	164	164	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	429									
42	42	165	165	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	430									
42	42	166	166	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	431									
42	42	167	167	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	432									
43	43	168	168	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	433									
43	43	337/2	337/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	434									
43	43	169	169	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	435									
43	43	339/2	339/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	436									
43	43	341/2	341/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	437									
43	43	171	171	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	438									
43	43	343/2	343/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	439									
43	43	168	168	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	440									
43	43	169	169	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	441									
43	43	170	170	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	442									
43	43	171	171	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	443									
44	44	172	172	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	444									
44	44	345/2	345/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	445									
44	44	173	173	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	446									
44	44	347/2	347/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	447									
44	44	174	174	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	448									
44	44	349/2	349/2	1.0	5/8	5/8	Chord	2/2	1	1	1/4	1/4	1	449									
44	44	351/2	351/2	0.16666666666666666	7/8	7/8	Chord	2/2	1	1	1/24	1/16	2/3	450							36		
44	44	527/3	527/3	0.16666666666666666	11/12	11/12	Chord	2/2	1	1	1/24	1/16	2/3	451							36		
44	44	1055/6	1055/6	0.16666666666666666	23/24	23/24	Chord	2/2	1	1	1/24	1/16	2/3	452							36		
44	44	172	172	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	453									
44	44	173	173	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	454									
44	44	174	174	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	455									
44	44	175	175	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	456									
45	45	176	176	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	457							36		
45	45	353/2	353/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	458									
45	45	355/2	355/2	1.0	3/8	3/8	Chord	2/2	1	1	1/4	1/4	1	459		articTenutoAbove							
45	45	357/2	357/2	1.5	5/8	5/8	Chord	2/2	1	1	3/8	1/4	3/2	460		articTenutoAbove							
45	45	176	176	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	461									
45	45	177	177	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	462									
45	45	178	178	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	463									
45	45	179	179	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	464									
46	46	180	180	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	465							37		
46	46	361/2	361/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	466									
46	46	363/2	363/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	467							38		
46	46	182	182	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	468									
46	46	183	183	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	469		articStaccatoAbove							
46	46	367/2	367/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	470		articStaccatoAbove							
46	46	180	180	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	471									
46	46	181	181	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	472									
46	46	182	182	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	473									
46	46	183	183	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	474									
47	47	184	184	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	475							39		
47	47	369/2	369/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	476									
47	47	371/2	371/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	477		articAccentBelow					40		
47	47	186	186	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	478							40		
47	47	373/2	373/2	1.5	5/8	5/8	Chord	2/2	1	1	3/8	1/4	3/2	479									
47	47	184	184	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	480									
47	47	185	185	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	481									
47	47	186	186	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	482									
47	47	187	187	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	483									
48	48	188	188	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	484									
48	48	379/2	379/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	485									
48	48	190	190	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	486									
48	48	188	188	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	487							41		
48	48	377/2	377/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	488									
48	48	379/2	379/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	489		articAccentBelow					42		
48	48	190	190	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	490							42		
48	48	381/2	381/2	1.5	5/8	5/8	Chord	2/2	1	2	3/8	1/4	3/2	491									
48	48	188	188	1.5	0	0	Chord	2/2	2	1	3/8	1/4	3/2	492									
48	48	379/2	379/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	493									
48	48	190	190	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	494									
48	48	191	191	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	495									
49	49	192	192	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	496		articAccentAbove							
49	49	387/2	387/2	1.5	3/8	3/8	Chord	2/2	1	1	3/8	1/4	3/2	497		articAccentAbove							
49	49	195	195	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	498		articAccentAbove					43		
49	49	391/2	391/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	499							43		
49	49	192	192	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	500							44		
49	49	385/2	385/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	501									
49	49	387/2	387/2	1.5	3/8	3/8	Chord	2/2	1	2	3/8	1/4	3/2	502									
49	49	192	192	1.5	0	0	Chord	2/2	2	1	3/8	1/4	3/2	503									
49	49	387/2	387/2	1.5	3/8	3/8	Chord	2/2	2	1	3/8	1/4	3/2	504									
49	49	195	195	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	505									
50	50	196	196	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	506									
50	50	198	198	0.0	1/2	1/2	StaffText	2/2	1	1	0						secco						
50	50	198	198	0.0	1/2	1/2	Dynamic	2/2	1	1	0				f								
50	50	198	198	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	507									
50	50	198	198	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	508									
50	50	196	196	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	509									
50	50	197	197	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	510							45		
50	50	198	198	0.0	1/2	1/2	StaffText	2/2	2	1	0						Prague, 23 avril 1931						
