mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	0.5	1/4	1/4	3/4	2	1		A.II+43{		A	I		II+43		II	+	43				{	+7	0	0	10, 0, 2, 6		2	10
1	1	3/2	0.5	3/8	3/8	3/4	2	1		V42(9)/bIII		A	I		V42(9)/bIII		V		42	9	bIII			Mm7	0	0				
1	1	2	0.5	1/2	1/2	3/4	2	1		IM43		A	I		IM43		I	M	43					MM7	0	0	1, 5, 0, 4		0	1
1	1	5/2	0.5	5/8	5/8	3/4	2	1		V42(9)/bII		A	I		V42(9)/bII		V		42	9	bII			Mm7	0	0				
2	2	3	1.5	0	0	3/4	2	1		ii6(b13)		A	I		ii6(b13)		ii		6	b13				m	0	0	-1, 3, 2	-2	2	-1
2	2	9/2	0.5	3/8	3/8	3/4	2	1		Fr7(^#6)		A	I		Fr7(^#6)	Fr	V		7	^#6b5	V			Fr	0	0	2, 6, -4, 12		2	2
2	2	5	0.5	1/2	1/2	3/4	2	1		bVIM43		A	I		bVIM43		bVI	M	43					MM7	0	0	-3, 1, -4, 0		-4	-3
2	2	11/2	0.5	5/8	5/8	3/4	2	1		IVM43		A	I		IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1	0
3	3	6	1.0	0	0	3/4	2	1		iio42(b9)		A	I		iio42(b9)		ii	o	42	b9				o7	0	0				
3	3	7	1.5	1/4	1/4	3/4	2	1		IIM43		A	I		IIM43		II	M	43					MM7	0	0	3, 7, 2, 6		2	3
3	3	17/2	0.5	5/8	5/8	3/4	2	1		viio43(9)/ii		A	I		viio43(9)/ii		vii	o	43	9	ii			o7	0	0	-6, -9, 0, -3	2	0	-6
4	4	9	0.5	0	0	3/4	2	1		iii65		A	I		iii65		iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	19/2	0.5	1/8	1/8	3/4	2	1		iv65		A	I		iv65		iv		65					mm7	0	0	-4, 0, -3, -1		-1	-4
4	4	10	0.5	1/4	1/4	3/4	2	1		viio6(#12)/V		A	I		viio6(#12)/V		vii	o	6	#12	V			o	0	0	3, 0, 6	7	6	3
4	4	21/2	0.5	3/8	3/8	3/4	2	1		viio43(9)/ii		A	I		viio43(9)/ii		vii	o	43	9	ii			o7	0	0	-6, -9, 0, -3	2	0	-6
4	4	11	0.5	1/2	1/2	3/4	2	1		iii65		A	I		iii65		iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	23/2	0.5	5/8	5/8	3/4	2	1		iv65		A	I		iv65		iv		65					mm7	0	0	-4, 0, -3, -1		-1	-4
5	5	12	3.0	0	0	3/4	2	1		V7(#119)/vi}{		A	I		V7(#119)/vi		V		7	#119	vi		}{	Mm7	0	0	4, 8, 5, 2	10, -1	4	4
6	6	15	3.0	0	0	3/4	2	1		V7(139)/bV		A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-5, -1, -4, -7	-2, -3	-5	-5
7	7	18	3.0	0	0	3/4	2	1		V7(9#8)/ii		A	I		V7(9#8)/ii		V		7	9#8	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
8	8	21	3.0	0	0	3/4	2	1		V7(#119)/vii		A	I		V7(#119)/vii		V		7	#119	vii			Mm7	0	0	6, 10, 7, 4	12, 1	6	6
9	9	24	3.0	0	0	3/4	2	1		ii%7(1311)/vi		A	I		ii%7(1311)/vi		ii	%	7	1311	vi			%7	0	0	5, 2, -1, 3	1, 4	5	5
10	10	27	3.0	0	0	3/4	2	1		V7(139)/bIII		A	I		V7(139)/bIII		V		7	139	bIII			Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2
11	11	30	3.0	0	0	3/4	2	1		V7(#119)/vii		A	I		V7(#119)/vii		V		7	#119	vii			Mm7	0	0	6, 10, 7, 4	12, 1	6	6
12	12	33	3.0	0	0	3/4	2	1		V7(13)/iii|HC}		A	I		V7(13)/iii		V		7	13	iii	HC	}	Mm7	0	0	5, 9, 6, 3	1	5	5
13	13	36	3.0	0	0	3/4	2	1		V7(#119)/vi{		A	I		V7(#119)/vi		V		7	#119	vi		{	Mm7	0	0	4, 8, 5, 2	10, -1	4	4
14	14	39	3.0	0	0	3/4	2	1		V7(139)/bV		A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-5, -1, -4, -7	-2, -3	-5	-5
15	15	42	3.0	0	0	3/4	2	1		V7(9)/ii		A	I		V7(9)/ii		V		7	9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
16	16	45	3.0	0	0	3/4	2	1		V7(#119)/vii		A	I		V7(#119)/vii		V		7	#119	vii			Mm7	0	0	6, 10, 7, 4	12, 1	6	6
17	17	48	3.0	0	0	3/4	2	1		ii%7(1311)/ii		A	I		ii%7(1311)/ii		ii	%	7	1311	ii			%7	0	0	4, 1, -2, 2	0, 3	4	4
18	18	51	3.0	0	0	3/4	2	1		V7(13)/vi		A	I		V7(13)/vi		V		7	13	vi			Mm7	0	0	4, 8, 5, 2	0	4	4
19	19	54	3.0	0	0	3/4	2	1		IV7(9)/vi		A	I		IV7(9)/vi		IV		7	9	vi			Mm7	0	0	2, 6, 3, 0	4	2	2
20	20	57	3.0	0	0	3/4	2	1		i(139)/vi|PC}		A	I		i(139)/vi		i			139	vi	PC	}	m	0	0	3, 0, 4	-1, 5	3	3
21	21	60	3.0	0	0	3/4	2	1		V7/bV{		A	I		V7/bV		V		7		bV		{	Mm7	0	0	-5, -1, -4, -7		-5	-5
22	22	63	3.0	0	0	3/4	2	1		V7(9)		A	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
23	23	66	3.0	0	0	3/4	2	1		IM7		A	I		IM7		I	M	7					MM7	0	0	0, 4, 1, 5		0	0
24	24	69	3.0	0	0	3/4	2	1		V7(#8)/vi		A	I		V7(#8)/vi		V		7	#8	vi			Mm7	0	0	4, 8, 5, 2		4	4
25	25	72	2.0	0	0	3/4	2	1		IM7/bV		A	I		IM7/bV		I	M	7		bV			MM7	0	0	-6, -2, -5, -1		-6	-6
25	25	74	1.0	1/2	1/2	3/4	2	1		V7(6)/vi		A	I		V7(6)/vi		V		7	6	vi			Mm7	0	0	4, 8, 0, 2		4	4
26	26	75	1.0	0	0	3/4	2	1		V7(62b0)/bV/bVI		A	I		V7(62b0)/bV/bVI		V		7	62b0	bV/bVI			Mm7	0	0	-7, -5, -6, -11		-9	-7
26	26	76	2.0	1/4	1/4	3/4	2	1		V7(6)/bV/bVI		A	I		V7(6)/bV/bVI		V		7	6	bV/bVI			Mm7	0	0	-9, -5, -6, -11		-9	-9
27	27	78	3.0	0	0	3/4	2	1		IM7/bVI		A	I		IM7/bVI		I	M	7		bVI			MM7	0	0	-4, 0, -3, 1		-4	-4
28	28	81	2.0	0	0	3/4	2	1		V7/V		A	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
28	28	83	1.0	1/2	1/2	3/4	2	1		V7|HC}		A	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
29	29	84	3.0	0	0	3/4	2	1		V7(#119)/vi{		A	I		V7(#119)/vi		V		7	#119	vi		{	Mm7	0	0	4, 8, 5, 2	10, -1	4	4
30	30	87	3.0	0	0	3/4	2	1		V7(139)/bV		A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-5, -1, -4, -7	-2, -3	-5	-5
31	31	90	3.0	0	0	3/4	2	1		V7(9)/ii		A	I		V7(9)/ii		V		7	9	ii			Mm7	0	0	3, 7, 4, 1	-2	3	3
32	32	93	3.0	0	0	3/4	2	1		V7(#119)/vii		A	I		V7(#119)/vii		V		7	#119	vii			Mm7	0	0	6, 10, 7, 4	12, 1	6	6
33	33	96	3.0	0	0	3/4	2	1		ii%7(1311)/ii		A	I		ii%7(1311)/ii		ii	%	7	1311	ii			%7	0	0	4, 1, -2, 2	0, 3	4	4
34	34	99	3.0	0	0	3/4	2	1		V7(13)/vi		A	I		V7(13)/vi		V		7	13	vi			Mm7	0	0	4, 8, 5, 2	0	4	4
35	35	102	3.0	0	0	3/4	2	1		IV7(9)/vi		A	I		IV7(9)/vi		IV		7	9	vi			Mm7	0	0	2, 6, 3, 0	4	2	2
36	36	105	3.0	0	0	3/4	2	1		i(139)/vi|PC}		A	I		i(139)/vi		i			139	vi	PC	}	m	0	0	3, 0, 4	-1, 5	3	3
37	37	108	3.0	0	0	3/4	2	1		V7/vii{		A	I		V7/vii		V		7		vii		{	Mm7	0	0	6, 10, 7, 4		6	6
38	38	111	3.0	0	0	3/4	2	1		V7(b9)/bVI		A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	-3, 1, -2, -5	-8	-3	-3
39	39	114	3.0	0	0	3/4	2	1		ii%7/vi		A	I		ii%7/vi		ii	%	7		vi			%7	0	0	5, 2, -1, 3		5	5
40	40	117	3.0	0	0	3/4	2	1		V7(b9)/vi		A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	4, 8, 5, 2	-8	4	4
41	41	120	3.0	0	0	3/4	2	1		V7(13#11)/bVI		A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	-3, 1, -2, -5	0, 3	-3	-3
42	42	123	3.0	0	0	3/4	2	1		V7(9)/iii		A	I		V7(9)/iii		V		7	9	iii			Mm7	0	0	5, 9, 6, 3	0	5	5
43	43	126	3.0	0	0	3/4	2	1		V7(b1311)/bIII		A	I		V7(b1311)/bIII		V		7	b1311	bIII			Mm7	0	0	-2, 2, -1, -4	-6, -3	-2	-2
44	44	129	3.0	0	0	3/4	2	1		V7(b9)|HC}		A	I		V7(b9)		V		7	b9		HC	}	Mm7	0	0	1, 5, 2, -1	-4	1	1
45	45	132	3.0	0	0	3/4	2	1		V7/vii{		A	I		V7/vii		V		7		vii		{	Mm7	0	0	6, 10, 7, 4		6	6
46	46	135	3.0	0	0	3/4	2	1		V7(b9)/bVI		A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	-3, 1, -2, -5	-8	-3	-3
47	47	138	3.0	0	0	3/4	2	1		ii%7/vi		A	I		ii%7/vi		ii	%	7		vi			%7	0	0	5, 2, -1, 3		5	5
48	48	141	3.0	0	0	3/4	2	1		V7(b9)/vi		A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	4, 8, 5, 2	-8	4	4
49	49	144	3.0	0	0	3/4	2	1		V7(13#11)/bVI		A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	-3, 1, -2, -5	0, 3	-3	-3
50	50	147	3.0	0	0	3/4	2	1		V7(9)/iii		A	I		V7(9)/iii		V		7	9	iii			Mm7	0	0	5, 9, 6, 3	0	5	5
51	51	150	3.0	0	0	3/4	2	1		V7/bVI		A	I		V7/bVI		V		7		bVI			Mm7	0	0	-3, 1, -2, -5		-3	-3
52	52	153	1.0	0	0	3/4	2	1		V7(6)/bII		A	I		V7(6)/bII		V		7	6	bII			Mm7	0	0	-4, 0, -1, -6		-4	-4
52	52	154	1.0	1/4	1/4	3/4	2	1		V7(#6)/ii		A	I		V7(#6)/ii		V		7	#6	ii			Mm7	0	0	3, 7, 4, 6		3	3
52	52	155	1.0	1/2	1/2	3/4	2	1		V7(6)/bIII		A	I		V7(6)/bIII		V		7	6	bIII			Mm7	0	0	-2, 2, 1, -4		-2	-2
53	53	156	3.0	0	0	3/4	2	1		ii7/bI|EC}{		A	I		ii7/bI		ii		7		bI	EC	}{	mm7	0	0	-5, -8, -4, -7		-5	-5
54	54	159	3.0	0	0	3/4	2	1		V7(119)/bI		A	I		V7(119)/bI		V		7	119	bI			Mm7	0	0	-6, -2, -5, -8	-7, -4	-6	-6
55	55	162	3.0	0	0	3/4	2	1		IM7/V		A	I		IM7/V		I	M	7		V			MM7	0	0	1, 5, 2, 6		1	1
56	56	165	3.0	0	0	3/4	2	1		V7(9)/vi		A	I		V7(9)/vi		V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
57	57	168	3.0	0	0	3/4	2	1		V7(#5)/bIII		A	I		V7(#5)/bIII		V		7	#5	bIII			Mm7	0	0	-2, 2, 6, -4		-2	-2
58	58	171	3.0	0	0	3/4	2	1		V7(9)/bVI		A	I		V7(9)/bVI		V		7	9	bVI			Mm7	0	0	-3, 1, -2, -5	-1	-3	-3
59	59	174	3.0	0	0	3/4	2	1		IM7/III		A	I		IM7/III		I	M	7		III			MM7	0	0	4, 8, 5, 9		4	4
60	60	177	3.0	0	0	3/4	2	1		V7(139)/bV|HC}		A	I		V7(139)/bV		V		7	139	bV	HC	}	Mm7	0	0	-5, -1, -4, -7	-2, -3	-5	-5
61	61	180	3.0	0	0	3/4	2	1		V7/bI{		A	I		V7/bI		V		7		bI		{	Mm7	0	0	-6, -2, -5, -8		-6	-6
62	62	183	3.0	0	0	3/4	2	1		V7(b9)/bVI		A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	-3, 1, -2, -5	-8	-3	-3
63	63	186	3.0	0	0	3/4	2	1		ii%7/vi		A	I		ii%7/vi		ii	%	7		vi			%7	0	0	5, 2, -1, 3		5	5
64	64	189	3.0	0	0	3/4	2	1		V7(b9)/vi		A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	4, 8, 5, 2	-8	4	4
65	65	192	3.0	0	0	3/4	2	1		V7(13#11)/bVI		A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	-3, 1, -2, -5	0, 3	-3	-3
66	66	195	2.0	0	0	3/4	2	1		V7(9)/iii		A	I		V7(9)/iii		V		7	9	iii			Mm7	0	0	5, 9, 6, 3	0	5	5
66	66	197	1.0	1/2	1/2	3/4	2	1		V7(b9)/bIII		A	I		V7(b9)/bIII		V		7	b9	bIII			Mm7	0	0	-2, 2, -1, -4	-7	-2	-2
67	67	198	3.0	0	0	3/4	2	1		V7(#11)/bVI		A	I		V7(#11)/bVI		V		7	#11	bVI			Mm7	0	0	-3, 1, -2, -5	3	-3	-3
68	68			0	0	3/4	2	1	1	V7(9)/V		A	I		V7(9)/V		V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
68	68			1/2	1/2	3/4	2	1	1	V7(96)/bV		A	I		V7(96)/bV		V		7	96	bV			Mm7	0	0	-5, -1, -2, -7	-3	-5	-5
69	68	201	2.0	0	0	3/4	2	1	2	V7(9)/V		A	I		V7(9)/V		V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
69	68	203	2.0	1/2	1/2	3/4	2	1	2	V7(9)/bV		A	I		V7(9)/bV		V		7	9	bV			Mm7	0	0	-5, -1, -4, -7	-3	-5	-5
70	69	205	5.0	1/4	1/4	3/4	2	2	2	I7(9)}	V7(9)/IV}	A	I		I7(9)		I		7	9			}	Mm7	0	0	0, 4, 1, -2	2	0	0
